# pucks logger
# generation, total redpucks, total greenpucks.
0 60.000000 59.000000 0.600000 100
1 64.000000 108.000000 0.590986 98
2 109.000000 207.000000 0.754411 95
3 196.000000 196.000000 0.860785 93
4 245.000000 224.000000 0.888780 93
5 284.000000 213.000000 0.855535 93
6 315.000000 293.000000 0.939207 93
7 273.000000 271.000000 0.937184 93
8 309.000000 304.000000 0.960710 93
9 322.000000 258.000000 0.947162 93
10 371.000000 318.000000 0.951121 93
11 398.000000 301.000000 0.934677 93
12 394.000000 353.000000 0.929546 93
13 378.000000 371.000000 0.946134 93
14 405.000000 350.000000 0.951650 93
15 405.000000 353.000000 0.950316 93
16 364.000000 410.000000 0.955923 93
17 342.000000 389.000000 0.936032 93
18 421.000000 394.000000 0.953160 93
19 354.000000 333.000000 0.887830 92
20 409.000000 348.000000 0.950834 92
21 414.000000 279.000000 0.901207 92
22 389.000000 295.000000 0.918909 92
23 397.000000 349.000000 0.954539 92
24 382.000000 346.000000 0.946851 92
25 337.000000 414.000000 0.928025 92
26 350.000000 434.000000 0.921230 92
27 288.000000 471.000000 0.938669 92
28 304.000000 414.000000 0.937859 92
29 292.000000 411.000000 0.910267 92
30 314.000000 389.000000 0.917215 92
31 275.000000 440.000000 0.949621 92
32 320.000000 484.000000 0.945246 92
33 229.000000 451.000000 0.954099 92
34 291.000000 353.000000 0.927536 92
35 340.000000 431.000000 0.951149 92
36 265.000000 406.000000 0.936017 92
37 180.000000 391.000000 0.903055 92
38 271.000000 391.000000 0.930071 92
39 307.000000 411.000000 0.920868 92
40 352.000000 461.000000 0.936271 92
41 387.000000 395.000000 0.941141 92
42 372.000000 359.000000 0.906213 92
43 342.000000 316.000000 0.888647 92
44 326.000000 318.000000 0.949226 92
45 361.000000 310.000000 0.892155 92
46 325.000000 330.000000 0.917828 92
47 335.000000 359.000000 0.889476 92
48 321.000000 375.000000 0.901358 92
49 391.000000 392.000000 0.914887 92
50 364.000000 422.000000 0.950272 92
51 373.000000 399.000000 0.668913 92
52 382.000000 378.000000 0.657448 92
53 422.000000 384.000000 0.622224 92
54 377.000000 366.000000 0.672280 92
55 406.000000 377.000000 0.637094 92
56 415.000000 396.000000 0.637286 92
57 372.000000 414.000000 0.668218 92
58 407.000000 373.000000 0.663990 92
59 390.000000 367.000000 0.646645 92
60 364.000000 367.000000 0.661520 92
61 393.000000 385.000000 0.661252 92
62 387.000000 355.000000 0.654442 92
63 344.000000 366.000000 0.645233 92
64 361.000000 341.000000 0.673840 92
65 341.000000 380.000000 0.657361 92
66 370.000000 375.000000 0.684590 92
67 411.000000 404.000000 0.645937 92
68 357.000000 317.000000 0.658170 92
69 352.000000 387.000000 0.648834 92
70 379.000000 397.000000 0.652374 92
71 382.000000 356.000000 0.662654 92
72 290.000000 346.000000 0.643677 92
73 370.000000 323.000000 0.659792 92
74 356.000000 351.000000 0.662891 92
75 307.000000 361.000000 0.649119 92
76 364.000000 340.000000 0.632017 92
77 323.000000 357.000000 0.627839 92
78 364.000000 339.000000 0.622570 92
79 334.000000 341.000000 0.653028 92
80 327.000000 326.000000 0.662152 92
81 315.000000 258.000000 0.681361 92
82 274.000000 254.000000 0.624941 92
83 342.000000 314.000000 0.634304 91
84 319.000000 325.000000 0.654951 91
85 365.000000 350.000000 0.661466 91
86 353.000000 348.000000 0.629861 91
87 391.000000 367.000000 0.635063 91
88 362.000000 385.000000 0.593752 91
89 392.000000 397.000000 0.626101 91
90 388.000000 343.000000 0.632769 91
91 385.000000 326.000000 0.598002 91
92 404.000000 423.000000 0.653945 91
93 429.000000 416.000000 0.650583 91
94 408.000000 363.000000 0.642937 91
95 367.000000 422.000000 0.636579 91
96 400.000000 380.000000 0.647171 91
97 397.000000 414.000000 0.643795 91
98 344.000000 384.000000 0.592602 90
99 421.000000 380.000000 0.634093 90
100 429.000000 402.000000 0.627881 90
