# pucks logger
# generation, total redpucks, total greenpucks.
0 76.000000 57.000000 0.526667 100
1 126.000000 111.000000 0.682329 94
2 117.000000 88.000000 0.655052 92
3 170.000000 89.000000 0.690854 91
4 153.000000 138.000000 0.737963 90
5 246.000000 170.000000 0.771886 90
6 242.000000 223.000000 0.835207 90
7 234.000000 260.000000 0.859791 89
8 313.000000 250.000000 0.910527 89
9 280.000000 300.000000 0.927228 89
10 255.000000 352.000000 0.941687 89
11 237.000000 303.000000 0.920302 89
12 274.000000 338.000000 0.944908 89
13 297.000000 371.000000 0.946853 89
14 229.000000 368.000000 0.962035 89
15 236.000000 381.000000 0.922589 89
16 234.000000 427.000000 0.936505 89
17 255.000000 414.000000 0.948399 88
18 298.000000 436.000000 0.958020 88
19 253.000000 392.000000 0.935331 88
20 289.000000 400.000000 0.960244 88
21 262.000000 405.000000 0.946661 88
22 224.000000 425.000000 0.931768 88
23 196.000000 486.000000 0.914777 88
24 254.000000 400.000000 0.967841 87
25 221.000000 358.000000 0.909130 86
26 204.000000 379.000000 0.947218 86
27 268.000000 406.000000 0.913487 86
28 296.000000 339.000000 0.951544 86
29 262.000000 350.000000 0.931942 86
30 318.000000 327.000000 0.928121 86
31 336.000000 290.000000 0.937174 86
32 354.000000 278.000000 0.955538 86
33 334.000000 254.000000 0.948840 86
34 389.000000 276.000000 0.975955 86
35 379.000000 285.000000 0.936138 86
36 398.000000 312.000000 0.954813 86
37 420.000000 249.000000 0.951357 86
38 459.000000 230.000000 0.963098 86
39 527.000000 180.000000 0.955204 86
40 555.000000 180.000000 0.936290 86
41 546.000000 221.000000 0.950655 86
42 480.000000 251.000000 0.973914 86
43 474.000000 290.000000 0.948715 86
44 520.000000 295.000000 0.938549 86
45 515.000000 317.000000 0.956015 86
46 542.000000 323.000000 0.952891 86
47 486.000000 378.000000 0.943414 86
48 468.000000 391.000000 0.933495 86
49 428.000000 416.000000 0.959304 86
50 461.000000 421.000000 0.950464 86
51 421.000000 453.000000 0.652816 86
52 412.000000 426.000000 0.646267 86
53 431.000000 447.000000 0.643237 86
54 422.000000 420.000000 0.645378 86
55 467.000000 399.000000 0.630830 86
56 474.000000 408.000000 0.629195 86
57 418.000000 453.000000 0.655508 86
58 457.000000 423.000000 0.629490 86
59 470.000000 433.000000 0.633504 86
60 479.000000 485.000000 0.633208 86
61 511.000000 487.000000 0.613255 86
62 519.000000 471.000000 0.629716 86
63 494.000000 480.000000 0.608507 86
64 493.000000 483.000000 0.637079 86
65 414.000000 470.000000 0.614665 86
66 521.000000 455.000000 0.621221 86
67 444.000000 484.000000 0.599970 86
68 489.000000 429.000000 0.641294 86
69 480.000000 445.000000 0.624258 86
70 466.000000 465.000000 0.622605 86
71 421.000000 486.000000 0.632305 85
72 461.000000 443.000000 0.650165 85
73 487.000000 448.000000 0.620481 85
74 470.000000 468.000000 0.630431 85
75 466.000000 467.000000 0.611893 85
76 477.000000 480.000000 0.605623 85
77 484.000000 422.000000 0.646556 85
78 441.000000 481.000000 0.636278 85
79 485.000000 464.000000 0.635100 85
80 474.000000 470.000000 0.626743 85
81 447.000000 432.000000 0.637393 85
82 426.000000 437.000000 0.624606 85
83 455.000000 446.000000 0.617866 84
84 477.000000 416.000000 0.628557 84
85 467.000000 401.000000 0.631731 84
86 467.000000 490.000000 0.610492 84
87 494.000000 491.000000 0.599439 84
88 459.000000 448.000000 0.631556 84
89 495.000000 477.000000 0.635395 84
90 432.000000 450.000000 0.619969 84
91 488.000000 433.000000 0.644561 84
92 475.000000 501.000000 0.622544 84
93 513.000000 488.000000 0.612448 84
94 496.000000 483.000000 0.628482 84
95 511.000000 504.000000 0.626098 84
96 511.000000 525.000000 0.605885 84
97 502.000000 474.000000 0.626364 84
98 531.000000 464.000000 0.640696 84
99 499.000000 495.000000 0.625887 84
100 461.000000 449.000000 0.619560 84
