# pucks logger
# generation, total redpucks, total greenpucks.
0 64.000000 66.000000 0.504365 100
1 107.000000 100.000000 0.680972 95
2 214.000000 120.000000 0.745205 95
3 195.000000 189.000000 0.815794 95
4 237.000000 240.000000 0.902544 95
5 256.000000 274.000000 0.855137 95
6 280.000000 258.000000 0.890989 95
7 289.000000 266.000000 0.860954 95
8 244.000000 213.000000 0.861477 95
9 303.000000 234.000000 0.878325 95
10 290.000000 238.000000 0.844210 94
11 276.000000 240.000000 0.927943 94
12 401.000000 275.000000 0.900712 94
13 394.000000 336.000000 0.940465 94
14 385.000000 275.000000 0.927409 94
15 309.000000 288.000000 0.917519 94
16 315.000000 361.000000 0.912589 94
17 348.000000 316.000000 0.946943 94
18 357.000000 339.000000 0.946932 94
19 355.000000 262.000000 0.929314 94
20 345.000000 329.000000 0.932108 94
21 322.000000 346.000000 0.901585 94
22 222.000000 321.000000 0.918840 94
23 267.000000 292.000000 0.847428 94
24 341.000000 319.000000 0.923624 94
25 404.000000 315.000000 0.952915 94
26 385.000000 334.000000 0.944743 94
27 442.000000 329.000000 0.947016 94
28 352.000000 413.000000 0.934580 94
29 383.000000 411.000000 0.922939 94
30 380.000000 311.000000 0.906730 94
31 352.000000 419.000000 0.908311 94
32 379.000000 459.000000 0.902717 94
33 429.000000 354.000000 0.926929 94
34 445.000000 410.000000 0.923695 94
35 436.000000 440.000000 0.934477 94
36 482.000000 412.000000 0.962609 94
37 468.000000 427.000000 0.939770 94
38 383.000000 467.000000 0.953219 94
39 399.000000 408.000000 0.929471 94
40 495.000000 388.000000 0.966404 94
41 504.000000 390.000000 0.957142 94
42 414.000000 323.000000 0.938590 94
43 420.000000 328.000000 0.930922 94
44 354.000000 403.000000 0.949429 94
45 383.000000 441.000000 0.931157 94
46 409.000000 429.000000 0.951158 94
47 295.000000 449.000000 0.904593 93
48 375.000000 394.000000 0.927811 93
49 436.000000 340.000000 0.934509 93
50 417.000000 309.000000 0.904715 93
51 349.000000 299.000000 0.660893 93
52 380.000000 364.000000 0.667263 93
53 370.000000 346.000000 0.652695 93
54 425.000000 418.000000 0.643971 93
55 422.000000 421.000000 0.636710 93
56 411.000000 409.000000 0.641962 93
57 440.000000 461.000000 0.618623 93
58 443.000000 449.000000 0.638160 93
59 458.000000 410.000000 0.647854 93
60 427.000000 450.000000 0.635554 93
61 461.000000 398.000000 0.619413 93
62 457.000000 440.000000 0.644564 93
63 426.000000 412.000000 0.647532 93
64 426.000000 412.000000 0.649934 93
65 448.000000 416.000000 0.646703 93
66 350.000000 363.000000 0.613886 93
67 399.000000 441.000000 0.646404 93
68 455.000000 455.000000 0.653499 93
69 484.000000 479.000000 0.629994 93
70 478.000000 448.000000 0.629479 93
71 472.000000 443.000000 0.631250 93
72 503.000000 520.000000 0.641659 93
73 516.000000 482.000000 0.633101 93
74 465.000000 448.000000 0.636182 93
75 458.000000 474.000000 0.658828 93
76 437.000000 495.000000 0.618926 93
77 425.000000 454.000000 0.641825 93
78 432.000000 459.000000 0.647297 93
79 432.000000 397.000000 0.626475 93
80 452.000000 444.000000 0.633122 93
81 456.000000 443.000000 0.638669 93
82 407.000000 433.000000 0.655552 93
83 473.000000 483.000000 0.661237 93
84 462.000000 484.000000 0.657415 93
85 463.000000 453.000000 0.647849 93
86 474.000000 489.000000 0.618746 93
87 526.000000 487.000000 0.626232 93
88 472.000000 469.000000 0.595323 93
89 450.000000 480.000000 0.651772 93
90 531.000000 541.000000 0.640825 93
91 516.000000 549.000000 0.621202 93
92 509.000000 524.000000 0.626336 93
93 506.000000 535.000000 0.629542 93
94 509.000000 568.000000 0.636293 93
95 528.000000 505.000000 0.628702 93
96 530.000000 549.000000 0.622272 93
97 527.000000 541.000000 0.606274 93
98 551.000000 497.000000 0.632444 93
99 502.000000 529.000000 0.632502 93
100 527.000000 523.000000 0.637823 93
