# pucks logger
# generation, total redpucks, total greenpucks.
0 85.000000 62.000000 0.594000 100
1 121.000000 59.000000 0.617172 99
2 180.000000 105.000000 0.872896 99
3 210.000000 121.000000 0.863483 99
4 218.000000 203.000000 0.817236 99
5 181.000000 202.000000 0.884808 99
6 121.000000 244.000000 0.858886 99
7 119.000000 271.000000 0.858738 97
8 167.000000 212.000000 0.942955 97
9 178.000000 288.000000 0.930580 96
10 174.000000 311.000000 0.906769 96
11 222.000000 305.000000 0.931501 96
12 240.000000 324.000000 0.920918 95
13 329.000000 323.000000 0.956430 95
14 351.000000 357.000000 0.936975 95
15 320.000000 276.000000 0.940877 95
16 351.000000 352.000000 0.940503 95
17 328.000000 299.000000 0.949299 95
18 317.000000 297.000000 0.906864 95
19 386.000000 352.000000 0.926503 95
20 415.000000 326.000000 0.871960 95
21 385.000000 375.000000 0.945404 95
22 441.000000 331.000000 0.887002 95
23 379.000000 253.000000 0.896734 95
24 400.000000 348.000000 0.930888 95
25 360.000000 327.000000 0.939476 95
26 344.000000 305.000000 0.950155 95
27 415.000000 330.000000 0.961783 95
28 436.000000 296.000000 0.961027 95
29 492.000000 285.000000 0.944848 95
30 526.000000 273.000000 0.946368 95
31 592.000000 284.000000 0.954110 95
32 500.000000 281.000000 0.948823 95
33 462.000000 337.000000 0.969245 95
34 412.000000 338.000000 0.935193 95
35 401.000000 332.000000 0.918641 95
36 447.000000 306.000000 0.918389 95
37 508.000000 326.000000 0.945388 95
38 502.000000 306.000000 0.913507 95
39 436.000000 322.000000 0.949896 95
40 484.000000 374.000000 0.934740 95
41 527.000000 300.000000 0.937949 94
42 512.000000 370.000000 0.948905 94
43 504.000000 305.000000 0.954066 94
44 503.000000 365.000000 0.954736 94
45 522.000000 362.000000 0.930586 94
46 533.000000 368.000000 0.950769 94
47 539.000000 390.000000 0.948929 94
48 447.000000 384.000000 0.930457 94
49 483.000000 382.000000 0.960145 94
50 519.000000 392.000000 0.941378 94
51 503.000000 490.000000 0.655414 94
52 469.000000 439.000000 0.621211 94
53 437.000000 490.000000 0.634434 94
54 460.000000 462.000000 0.608835 94
55 455.000000 434.000000 0.636089 94
56 447.000000 404.000000 0.640711 94
57 427.000000 434.000000 0.624215 94
58 441.000000 490.000000 0.630400 94
59 470.000000 473.000000 0.634183 94
60 482.000000 466.000000 0.645788 94
61 450.000000 490.000000 0.638507 94
62 463.000000 466.000000 0.632321 94
63 466.000000 448.000000 0.635726 94
64 480.000000 465.000000 0.644740 94
65 466.000000 489.000000 0.641910 94
66 464.000000 476.000000 0.636610 94
67 420.000000 488.000000 0.623809 94
68 441.000000 482.000000 0.625592 93
69 476.000000 491.000000 0.608468 93
70 481.000000 463.000000 0.624822 93
71 478.000000 448.000000 0.637676 93
72 452.000000 478.000000 0.617817 93
73 482.000000 484.000000 0.655975 93
74 420.000000 480.000000 0.632434 93
75 418.000000 431.000000 0.615150 93
76 463.000000 475.000000 0.624175 93
77 473.000000 489.000000 0.638126 93
78 496.000000 451.000000 0.627558 93
79 422.000000 447.000000 0.643606 93
80 540.000000 468.000000 0.639642 93
81 484.000000 434.000000 0.624787 93
82 490.000000 501.000000 0.640943 93
83 467.000000 477.000000 0.611597 93
84 423.000000 414.000000 0.596332 93
85 478.000000 440.000000 0.673404 93
86 401.000000 435.000000 0.661604 93
87 453.000000 455.000000 0.637473 93
88 494.000000 450.000000 0.664409 93
89 460.000000 445.000000 0.595833 93
90 445.000000 440.000000 0.619086 92
91 444.000000 468.000000 0.622994 92
92 404.000000 444.000000 0.645923 92
93 432.000000 398.000000 0.638783 92
94 462.000000 441.000000 0.623665 92
95 402.000000 400.000000 0.631049 92
96 418.000000 393.000000 0.635390 92
97 419.000000 431.000000 0.650957 92
98 442.000000 455.000000 0.631813 92
99 498.000000 407.000000 0.641721 92
100 465.000000 418.000000 0.609510 92
