# pucks logger
# generation, total redpucks, total greenpucks.
0 71.000000 61.000000 0.573667 100
1 89.000000 78.000000 0.629928 97
2 140.000000 109.000000 0.719681 97
3 140.000000 136.000000 0.751023 97
4 183.000000 150.000000 0.811806 96
5 153.000000 153.000000 0.806076 96
6 151.000000 179.000000 0.798921 96
7 139.000000 245.000000 0.821871 94
8 128.000000 169.000000 0.749704 94
9 126.000000 212.000000 0.784646 94
10 117.000000 169.000000 0.748029 93
11 161.000000 223.000000 0.816375 93
12 133.000000 285.000000 0.851523 93
13 193.000000 196.000000 0.876743 93
14 189.000000 201.000000 0.799411 93
15 184.000000 250.000000 0.799080 93
16 140.000000 224.000000 0.783308 93
17 136.000000 229.000000 0.811559 93
18 136.000000 236.000000 0.778865 92
19 127.000000 255.000000 0.760266 92
20 137.000000 277.000000 0.818155 92
21 172.000000 270.000000 0.892361 92
22 194.000000 299.000000 0.893117 92
23 174.000000 310.000000 0.873294 92
24 184.000000 304.000000 0.863031 92
25 180.000000 309.000000 0.911413 92
26 271.000000 371.000000 0.933467 92
27 285.000000 258.000000 0.955391 92
28 301.000000 236.000000 0.903800 92
29 200.000000 300.000000 0.927519 92
30 296.000000 319.000000 0.907289 92
31 295.000000 335.000000 0.925758 91
32 261.000000 283.000000 0.921285 91
33 331.000000 321.000000 0.903053 91
34 305.000000 221.000000 0.891806 91
35 297.000000 233.000000 0.872850 91
36 360.000000 294.000000 0.948156 90
37 356.000000 252.000000 0.951746 90
38 346.000000 261.000000 0.904991 90
39 413.000000 210.000000 0.900487 90
40 322.000000 239.000000 0.963611 90
41 344.000000 255.000000 0.953889 90
42 349.000000 282.000000 0.939750 89
43 361.000000 192.000000 0.887719 89
44 349.000000 204.000000 0.918310 88
45 379.000000 228.000000 0.865011 88
46 363.000000 256.000000 0.912213 88
47 427.000000 238.000000 0.946524 87
48 364.000000 280.000000 0.942041 87
49 308.000000 219.000000 0.851288 87
50 342.000000 207.000000 0.878081 86
51 301.000000 299.000000 0.651523 86
52 312.000000 307.000000 0.657580 86
53 309.000000 324.000000 0.629544 86
54 345.000000 326.000000 0.614507 86
55 347.000000 291.000000 0.651992 86
56 327.000000 288.000000 0.617383 86
57 366.000000 313.000000 0.560678 86
58 337.000000 351.000000 0.642901 86
59 351.000000 314.000000 0.627566 86
60 367.000000 371.000000 0.643598 86
61 384.000000 418.000000 0.617084 86
62 381.000000 347.000000 0.666113 86
63 346.000000 388.000000 0.640862 86
64 367.000000 391.000000 0.624838 86
65 433.000000 400.000000 0.638689 86
66 425.000000 388.000000 0.648147 86
67 357.000000 379.000000 0.628069 86
68 376.000000 384.000000 0.630410 86
69 337.000000 367.000000 0.639067 86
70 368.000000 326.000000 0.683158 86
71 357.000000 305.000000 0.657188 86
72 312.000000 315.000000 0.604563 86
73 266.000000 284.000000 0.670501 86
74 285.000000 234.000000 0.619455 86
75 333.000000 315.000000 0.650746 85
76 326.000000 397.000000 0.654384 85
77 371.000000 353.000000 0.661947 85
78 317.000000 309.000000 0.675979 85
79 334.000000 311.000000 0.648942 85
80 317.000000 258.000000 0.631428 84
81 365.000000 366.000000 0.637478 84
82 361.000000 299.000000 0.668920 84
83 336.000000 361.000000 0.653043 84
84 375.000000 414.000000 0.660823 84
85 424.000000 410.000000 0.623318 84
86 460.000000 369.000000 0.631239 84
87 405.000000 386.000000 0.621979 84
88 430.000000 370.000000 0.623227 84
89 322.000000 322.000000 0.608473 84
90 391.000000 388.000000 0.639808 84
91 418.000000 354.000000 0.642858 84
92 382.000000 388.000000 0.669764 84
93 394.000000 412.000000 0.621203 84
94 416.000000 400.000000 0.630052 84
95 439.000000 425.000000 0.626730 84
96 451.000000 423.000000 0.637717 84
97 419.000000 396.000000 0.640258 84
98 413.000000 417.000000 0.652083 84
99 376.000000 404.000000 0.645376 84
100 375.000000 358.000000 0.654711 84
