# pucks logger
# generation, total redpucks, total greenpucks.
0 67.000000 57.000000 0.490000 100
1 125.000000 134.000000 0.700546 93
2 162.000000 142.000000 0.807038 91
3 124.000000 191.000000 0.794623 89
4 137.000000 228.000000 0.819050 89
5 160.000000 183.000000 0.838024 89
6 190.000000 225.000000 0.799922 88
7 195.000000 194.000000 0.782262 88
8 210.000000 265.000000 0.897430 88
9 282.000000 316.000000 0.906987 88
10 292.000000 295.000000 0.898745 88
11 312.000000 313.000000 0.941411 86
12 332.000000 260.000000 0.913180 86
13 353.000000 333.000000 0.897000 86
14 279.000000 312.000000 0.918402 86
15 275.000000 336.000000 0.903422 86
16 257.000000 326.000000 0.896505 86
17 194.000000 379.000000 0.904029 86
18 206.000000 379.000000 0.895359 86
19 169.000000 443.000000 0.912513 85
20 193.000000 358.000000 0.827121 83
21 270.000000 333.000000 0.889302 83
22 291.000000 345.000000 0.891769 83
23 250.000000 366.000000 0.931503 83
24 319.000000 290.000000 0.908527 83
25 335.000000 338.000000 0.939812 83
26 304.000000 391.000000 0.964792 83
27 295.000000 301.000000 0.930555 83
28 289.000000 281.000000 0.884141 83
29 294.000000 317.000000 0.916994 83
30 343.000000 309.000000 0.926208 83
31 315.000000 358.000000 0.941372 83
32 352.000000 321.000000 0.929011 83
33 319.000000 328.000000 0.925139 83
34 335.000000 338.000000 0.951556 83
35 372.000000 354.000000 0.963523 83
36 336.000000 361.000000 0.958269 83
37 367.000000 371.000000 0.952786 83
38 350.000000 448.000000 0.947460 83
39 320.000000 493.000000 0.960193 83
40 325.000000 411.000000 0.941141 83
41 359.000000 433.000000 0.947522 83
42 334.000000 409.000000 0.937884 83
43 296.000000 480.000000 0.950633 83
44 295.000000 417.000000 0.957854 83
45 316.000000 403.000000 0.908981 83
46 367.000000 388.000000 0.969883 83
47 405.000000 366.000000 0.958373 83
48 346.000000 403.000000 0.912795 83
49 337.000000 352.000000 0.927598 83
50 380.000000 390.000000 0.965374 82
51 333.000000 396.000000 0.674348 82
52 354.000000 356.000000 0.620176 82
53 309.000000 346.000000 0.629200 82
54 324.000000 309.000000 0.640113 82
55 360.000000 363.000000 0.646933 82
56 377.000000 398.000000 0.635264 82
57 377.000000 376.000000 0.615327 82
58 400.000000 376.000000 0.620659 82
59 366.000000 401.000000 0.624553 82
60 347.000000 335.000000 0.642182 81
61 330.000000 342.000000 0.634245 81
62 399.000000 389.000000 0.647322 81
63 369.000000 337.000000 0.617884 80
64 341.000000 372.000000 0.655554 80
65 408.000000 347.000000 0.640992 80
66 363.000000 374.000000 0.632071 80
67 358.000000 373.000000 0.627806 80
68 392.000000 398.000000 0.626701 80
69 395.000000 355.000000 0.620691 80
70 329.000000 368.000000 0.657433 80
71 329.000000 306.000000 0.619437 80
72 368.000000 344.000000 0.635971 80
73 328.000000 320.000000 0.622267 80
74 345.000000 330.000000 0.623565 80
75 337.000000 336.000000 0.639667 79
76 370.000000 313.000000 0.610803 79
77 335.000000 325.000000 0.630340 79
78 342.000000 363.000000 0.600015 79
79 354.000000 339.000000 0.596605 79
80 388.000000 346.000000 0.626349 79
81 334.000000 317.000000 0.617264 79
82 374.000000 363.000000 0.606420 79
83 390.000000 340.000000 0.591250 79
84 383.000000 338.000000 0.626141 79
85 380.000000 380.000000 0.638368 79
86 395.000000 356.000000 0.607887 79
87 380.000000 369.000000 0.597266 79
88 361.000000 367.000000 0.608917 79
89 367.000000 370.000000 0.630784 79
90 381.000000 390.000000 0.626172 79
91 397.000000 363.000000 0.608032 79
92 338.000000 328.000000 0.610339 79
93 350.000000 313.000000 0.613266 79
94 354.000000 393.000000 0.566884 79
95 322.000000 342.000000 0.593658 79
96 372.000000 350.000000 0.591876 79
97 417.000000 337.000000 0.645999 79
98 366.000000 354.000000 0.628573 79
99 347.000000 343.000000 0.641973 79
100 315.000000 390.000000 0.627964 79
