# pucks logger
# generation, total redpucks, total greenpucks.
0 83.000000 55.000000 0.585000 100
1 106.000000 92.000000 0.638047 99
2 207.000000 67.000000 0.764175 97
3 226.000000 77.000000 0.715614 95
4 187.000000 112.000000 0.765063 95
5 152.000000 146.000000 0.715096 94
6 221.000000 179.000000 0.793154 93
7 230.000000 184.000000 0.924705 91
8 214.000000 188.000000 0.882896 89
9 199.000000 170.000000 0.862049 88
10 217.000000 179.000000 0.871456 87
11 215.000000 143.000000 0.816893 87
12 212.000000 170.000000 0.885536 87
13 264.000000 146.000000 0.895364 85
14 259.000000 170.000000 0.860260 85
15 320.000000 147.000000 0.951604 85
16 404.000000 171.000000 0.957063 85
17 356.000000 141.000000 0.922717 85
18 373.000000 142.000000 0.913791 85
19 420.000000 166.000000 0.960483 84
20 441.000000 138.000000 0.922746 84
21 409.000000 203.000000 0.930963 83
22 417.000000 191.000000 0.947420 83
23 329.000000 204.000000 0.926626 82
24 298.000000 203.000000 0.955761 81
25 336.000000 256.000000 0.946495 81
26 373.000000 222.000000 0.974480 81
27 377.000000 222.000000 0.943812 81
28 378.000000 258.000000 0.955293 81
29 437.000000 255.000000 0.935001 81
30 381.000000 264.000000 0.938895 81
31 414.000000 265.000000 0.958484 81
32 363.000000 334.000000 0.955267 80
33 385.000000 325.000000 0.949236 80
34 376.000000 313.000000 0.966322 80
35 323.000000 353.000000 0.934241 80
36 378.000000 338.000000 0.943146 80
37 373.000000 356.000000 0.937966 80
38 399.000000 299.000000 0.964964 80
39 355.000000 355.000000 0.958935 80
40 227.000000 348.000000 0.920302 80
41 283.000000 311.000000 0.958929 80
42 350.000000 384.000000 0.935142 80
43 395.000000 389.000000 0.953012 80
44 410.000000 333.000000 0.954331 80
45 430.000000 317.000000 0.946082 80
46 408.000000 352.000000 0.929762 80
47 401.000000 333.000000 0.939419 80
48 444.000000 335.000000 0.961466 80
49 453.000000 404.000000 0.966704 80
50 383.000000 400.000000 0.974414 80
51 417.000000 346.000000 0.661265 80
52 413.000000 412.000000 0.618576 80
53 420.000000 383.000000 0.626409 80
54 406.000000 401.000000 0.635772 79
55 394.000000 415.000000 0.612656 79
56 394.000000 400.000000 0.627388 79
57 422.000000 418.000000 0.602911 79
58 399.000000 390.000000 0.625489 79
59 460.000000 398.000000 0.617541 79
60 414.000000 415.000000 0.647706 79
61 445.000000 405.000000 0.605479 78
62 409.000000 415.000000 0.654802 78
63 416.000000 449.000000 0.621135 78
64 443.000000 429.000000 0.618630 78
65 404.000000 421.000000 0.616060 78
66 414.000000 418.000000 0.639454 78
67 412.000000 378.000000 0.625241 78
68 370.000000 348.000000 0.648529 78
69 417.000000 414.000000 0.624929 78
70 369.000000 445.000000 0.619340 78
71 392.000000 352.000000 0.645072 78
72 369.000000 374.000000 0.632086 78
73 412.000000 342.000000 0.653869 78
74 423.000000 396.000000 0.631274 78
75 393.000000 380.000000 0.635214 78
76 395.000000 357.000000 0.621016 78
77 408.000000 417.000000 0.624864 78
78 402.000000 463.000000 0.623612 78
79 426.000000 396.000000 0.658161 78
80 443.000000 399.000000 0.630791 78
81 432.000000 414.000000 0.640331 78
82 388.000000 415.000000 0.634576 78
83 431.000000 417.000000 0.619626 78
84 429.000000 444.000000 0.610768 78
85 403.000000 403.000000 0.645620 78
86 413.000000 409.000000 0.617540 77
87 392.000000 427.000000 0.615431 77
88 397.000000 434.000000 0.654641 77
89 449.000000 370.000000 0.633759 77
90 426.000000 411.000000 0.628054 77
91 412.000000 437.000000 0.642935 77
92 419.000000 465.000000 0.615407 77
93 366.000000 375.000000 0.654859 76
94 433.000000 433.000000 0.634654 76
95 455.000000 432.000000 0.608662 76
96 452.000000 451.000000 0.636049 76
97 488.000000 441.000000 0.629185 75
98 454.000000 442.000000 0.632699 75
99 484.000000 421.000000 0.632939 75
100 434.000000 517.000000 0.630581 75
