# pucks logger
# generation, total redpucks, total greenpucks.
0 36.000000 43.000000 0.430714 100
1 73.000000 68.000000 0.547054 97
2 92.000000 108.000000 0.768996 93
3 113.000000 128.000000 0.795537 93
4 130.000000 98.000000 0.758120 91
5 110.000000 169.000000 0.795500 91
6 143.000000 132.000000 0.756905 90
7 170.000000 144.000000 0.709339 90
8 238.000000 129.000000 0.850399 90
9 235.000000 79.000000 0.739730 89
10 258.000000 132.000000 0.791055 89
11 254.000000 142.000000 0.787169 88
12 332.000000 129.000000 0.850749 88
13 321.000000 133.000000 0.912972 87
14 290.000000 152.000000 0.890297 87
15 291.000000 191.000000 0.867508 87
16 265.000000 269.000000 0.926709 87
17 278.000000 269.000000 0.938969 87
18 325.000000 250.000000 0.912259 87
19 331.000000 279.000000 0.950607 87
20 334.000000 234.000000 0.941693 87
21 325.000000 273.000000 0.927595 87
22 338.000000 256.000000 0.949307 87
23 365.000000 329.000000 0.944539 87
24 279.000000 332.000000 0.962295 87
25 322.000000 396.000000 0.933432 87
26 294.000000 388.000000 0.952016 87
27 427.000000 317.000000 0.924993 87
28 360.000000 328.000000 0.936677 87
29 423.000000 370.000000 0.929143 87
30 418.000000 402.000000 0.922651 87
31 398.000000 388.000000 0.931878 87
32 375.000000 362.000000 0.935731 87
33 421.000000 311.000000 0.935565 87
34 451.000000 308.000000 0.965516 87
35 382.000000 296.000000 0.933677 87
36 421.000000 324.000000 0.941098 87
37 438.000000 300.000000 0.952312 87
38 448.000000 367.000000 0.937572 87
39 420.000000 380.000000 0.941645 87
40 356.000000 421.000000 0.926321 87
41 336.000000 436.000000 0.931746 87
42 368.000000 482.000000 0.945554 87
43 417.000000 421.000000 0.944703 87
44 383.000000 401.000000 0.934692 87
45 403.000000 391.000000 0.922047 87
46 390.000000 409.000000 0.925025 87
47 400.000000 439.000000 0.940024 87
48 390.000000 462.000000 0.937334 87
49 387.000000 405.000000 0.948993 87
50 414.000000 406.000000 0.919327 87
51 384.000000 369.000000 0.671526 87
52 429.000000 354.000000 0.632521 87
53 422.000000 409.000000 0.660491 87
54 393.000000 416.000000 0.659793 87
55 375.000000 382.000000 0.640147 87
56 388.000000 411.000000 0.621267 87
57 395.000000 428.000000 0.644230 87
58 393.000000 378.000000 0.642024 87
59 354.000000 389.000000 0.640462 87
60 374.000000 386.000000 0.655182 87
61 400.000000 404.000000 0.642314 87
62 408.000000 422.000000 0.615401 87
63 377.000000 391.000000 0.643918 87
64 427.000000 390.000000 0.643869 87
65 402.000000 425.000000 0.637911 87
66 429.000000 373.000000 0.652656 87
67 403.000000 378.000000 0.636394 87
68 371.000000 368.000000 0.659217 87
69 382.000000 374.000000 0.642996 87
70 398.000000 429.000000 0.628936 87
71 412.000000 423.000000 0.628851 87
72 413.000000 422.000000 0.614668 87
73 391.000000 396.000000 0.640470 87
74 456.000000 433.000000 0.653785 87
75 400.000000 415.000000 0.639908 87
76 398.000000 392.000000 0.650728 87
77 391.000000 414.000000 0.650789 87
78 388.000000 387.000000 0.661981 87
79 405.000000 413.000000 0.658325 87
80 389.000000 440.000000 0.634535 87
81 405.000000 364.000000 0.665093 87
82 369.000000 420.000000 0.637210 87
83 388.000000 362.000000 0.660728 87
84 376.000000 392.000000 0.638415 87
85 379.000000 366.000000 0.655925 87
86 400.000000 379.000000 0.639547 87
87 359.000000 373.000000 0.658319 87
88 386.000000 388.000000 0.637630 87
89 388.000000 399.000000 0.667617 87
90 375.000000 390.000000 0.637540 87
91 387.000000 358.000000 0.670464 87
92 398.000000 390.000000 0.645664 87
93 402.000000 373.000000 0.649339 87
94 382.000000 381.000000 0.628927 87
95 414.000000 413.000000 0.615632 87
96 393.000000 397.000000 0.622544 87
97 409.000000 361.000000 0.620030 87
98 348.000000 374.000000 0.644876 87
99 355.000000 379.000000 0.646084 87
100 401.000000 366.000000 0.639927 87
